payment_type,total_orders,order_share_pct,delivered_orders,delivery_rate_pct,cancelled_orders,shipped_orders,rto_orders,rto_rate_pct,returned_orders,return_rate_pct
COD,6954,57.95,4776,68.68,452,6502,1251,19.24,475,9.95
Prepaid,5046,42.05,3804,75.39,364,4682,525,11.21,353,9.28
